Entry	Nuc_Genomic_EMBL_ID_1	Nuc_Genomic_EMBL_Link_1	Nuc_Genomic_EMBL_ID_2	Nuc_Genomic_EMBL_Link_2	Nuc_Genomic_EMBL_ID_3	Nuc_Genomic_EMBL_Link_3	Nuc_Genomic_EMBL_ID_4	Nuc_Genomic_EMBL_Link_4	Nuc_Genomic_EMBL_ID_5	Nuc_Genomic_EMBL_Link_5	Nuc_Genomic_EMBL_ID_6	Nuc_Genomic_EMBL_Link_6	Nuc_Genomic_EMBL_ID_7	Nuc_Genomic_EMBL_Link_7	Nuc_Genomic_EMBL_ID_8	Nuc_Genomic_EMBL_Link_8	Nuc_Genomic_EMBL_ID_9	Nuc_Genomic_EMBL_Link_9	Nuc_Genomic_EMBL_ID_10	Nuc_Genomic_EMBL_Link_10	Nuc_Genomic_EMBL_ID_11	Nuc_Genomic_EMBL_Link_11	Nuc_Genomic_EMBL_ID_12	Nuc_Genomic_EMBL_Link_12	Nuc_Genomic_EMBL_ID_13	Nuc_Genomic_EMBL_Link_13	Nuc_Genomic_EMBL_ID_14	Nuc_Genomic_EMBL_Link_14	Nuc_mRNA_EMBL_ID_1	Nuc_mRNA_EMBL_Link_1	Nuc_mRNA_EMBL_ID_2	Nuc_mRNA_EMBL_Link_2	Nuc_mRNA_EMBL_ID_3	Nuc_mRNA_EMBL_Link_3	Nuc_mRNA_EMBL_ID_4	Nuc_mRNA_EMBL_Link_4	Nuc_mRNA_EMBL_ID_5	Nuc_mRNA_EMBL_Link_5	Nuc_mRNA_EMBL_ID_6	Nuc_mRNA_EMBL_Link_6	Nuc_mRNA_EMBL_ID_7	Nuc_mRNA_EMBL_Link_7	Nuc_mRNA_EMBL_ID_8	Nuc_mRNA_EMBL_Link_8	Nuc_mRNA_EMBL_ID_9	Nuc_mRNA_EMBL_Link_9	Nuc_mRNA_EMBL_ID_10	Nuc_mRNA_EMBL_Link_10	Nuc_mRNA_EMBL_ID_11	Nuc_mRNA_EMBL_Link_11	Nuc_mRNA_EMBL_ID_12	Nuc_mRNA_EMBL_Link_12	Nuc_mRNA_EMBL_ID_13	Nuc_mRNA_EMBL_Link_13	Nuc_mRNA_EMBL_ID_14	Nuc_mRNA_EMBL_Link_14	Nuc_mRNA_EMBL_ID_15	Nuc_mRNA_EMBL_Link_15	Prot_EMBL_ORF_ID_1	Prot_EMBL_ORF_Link_1	Prot_EMBL_ORF_ID_2	Prot_EMBL_ORF_Link_2	Prot_EMBL_ORF_ID_3	Prot_EMBL_ORF_Link_3	Prot_EMBL_ORF_ID_4	Prot_EMBL_ORF_Link_4	Prot_EMBL_ORF_ID_5	Prot_EMBL_ORF_Link_5	Prot_EMBL_ORF_ID_6	Prot_EMBL_ORF_Link_6	Prot_EMBL_ORF_ID_7	Prot_EMBL_ORF_Link_7	Prot_EMBL_ORF_ID_8	Prot_EMBL_ORF_Link_8	Prot_EMBL_ORF_ID_9	Prot_EMBL_ORF_Link_9	Prot_EMBL_ORF_ID_10	Prot_EMBL_ORF_Link_10	Prot_EMBL_ORF_ID_11	Prot_EMBL_ORF_Link_11	Prot_EMBL_ORF_ID_12	Prot_EMBL_ORF_Link_12	Prot_EMBL_ORF_ID_13	Prot_EMBL_ORF_Link_13	Prot_EMBL_ORF_ID_14	Prot_EMBL_ORF_Link_14	Prot_EMBL_ORF_ID_15	Prot_EMBL_ORF_Link_15	Prot_EMBL_ORF_ID_16	Prot_EMBL_ORF_Link_16	Prot_EMBL_ORF_ID_17	Prot_EMBL_ORF_Link_17	Prot_EMBL_ORF_ID_18	Prot_EMBL_ORF_Link_18	Prot_EMBL_ORF_ID_19	Prot_EMBL_ORF_Link_19	Prot_EMBL_ORF_ID_20	Prot_EMBL_ORF_Link_20	Prot_EMBL_ORF_ID_21	Prot_EMBL_ORF_Link_21	Prot_EMBL_ORF_ID_22	Prot_EMBL_ORF_Link_22	Prot_EMBL_ORF_ID_23	Prot_EMBL_ORF_Link_23	Prot_EMBL_ORF_ID_24	Prot_EMBL_ORF_Link_24	Prot_EMBL_ORF_ID_25	Prot_EMBL_ORF_Link_25	Prot_EMBL_ORF_ID_26	Prot_EMBL_ORF_Link_26	Prot_RefSeq_ID_1	Prot_RefSeq_NucID_1	Prot_RefSeq_ProteinLink_1	Prot_RefSeq_NucLink_1	Prot_RefSeq_ID_2	Prot_RefSeq_NucID_2	Prot_RefSeq_ProteinLink_2	Prot_RefSeq_NucLink_2	Prot_RefSeq_ID_3	Prot_RefSeq_NucID_3	Prot_RefSeq_ProteinLink_3	Prot_RefSeq_NucLink_3	Prot_RefSeq_ID_4	Prot_RefSeq_NucID_4	Prot_RefSeq_ProteinLink_4	Prot_RefSeq_NucLink_4	Prot_RefSeq_ID_5	Prot_RefSeq_NucID_5	Prot_RefSeq_ProteinLink_5	Prot_RefSeq_NucLink_5	Prot_RefSeq_ID_6	Prot_RefSeq_NucID_6	Prot_RefSeq_ProteinLink_6	Prot_RefSeq_NucLink_6	Prot_RefSeq_ID_7	Prot_RefSeq_NucID_7	Prot_RefSeq_ProteinLink_7	Prot_RefSeq_NucLink_7	Prot_RefSeq_ID_8	Prot_RefSeq_NucID_8	Prot_RefSeq_ProteinLink_8	Prot_RefSeq_NucLink_8	Prot_RefSeq_ID_9	Prot_RefSeq_NucID_9	Prot_RefSeq_ProteinLink_9	Prot_RefSeq_NucLink_9	Prot_RefSeq_ID_10	Prot_RefSeq_NucID_10	Prot_RefSeq_ProteinLink_10	Prot_RefSeq_NucLink_10	Prot_RefSeq_ID_11	Prot_RefSeq_NucID_11	Prot_RefSeq_ProteinLink_11	Prot_RefSeq_NucLink_11
P38604	U23488	https://www.ebi.ac.uk/ena/browser/view/U23488	U60996	https://www.ebi.ac.uk/ena/browser/view/U60996	U10556	https://www.ebi.ac.uk/ena/browser/view/U10556	AY693043	https://www.ebi.ac.uk/ena/browser/view/AY693043	BK006934	https://www.ebi.ac.uk/ena/browser/view/BK006934																																																	AAA16975.1	https://www.ebi.ac.uk/ena/browser/view/AAA16975.1	AAA64377.1	https://www.ebi.ac.uk/ena/browser/view/AAA64377.1	AAB08472.1	https://www.ebi.ac.uk/ena/browser/view/AAB08472.1	AAB68891.1	https://www.ebi.ac.uk/ena/browser/view/AAB68891.1	AAT93062.1	https://www.ebi.ac.uk/ena/browser/view/AAT93062.1	DAA06765.2	https://www.ebi.ac.uk/ena/browser/view/DAA06765.2	NP_011939.2	https://www.ncbi.nlm.nih.gov/protein/NP_011939.2																																							NP_011939.2	NM_001179202.2	https://www.ncbi.nlm.nih.gov/protein/NP_011939.2	https://www.ncbi.nlm.nih.gov/nucleotide/NM_001179202.2																																								
P38605	AC005171	https://www.ebi.ac.uk/ena/browser/view/AC005171	CP002685	https://www.ebi.ac.uk/ena/browser/view/CP002685																									U02555	https://www.ebi.ac.uk/ena/browser/view/U02555	AY094394	https://www.ebi.ac.uk/ena/browser/view/AY094394	BT001118	https://www.ebi.ac.uk/ena/browser/view/BT001118																									AAC04931.1	https://www.ebi.ac.uk/ena/browser/view/AAC04931.1	AAM15015.1	https://www.ebi.ac.uk/ena/browser/view/AAM15015.1	AEC06032.1	https://www.ebi.ac.uk/ena/browser/view/AEC06032.1	AAM19773.1	https://www.ebi.ac.uk/ena/browser/view/AAM19773.1	AAN64509.1	https://www.ebi.ac.uk/ena/browser/view/AAN64509.1	NP_178722.1	https://www.ncbi.nlm.nih.gov/protein/NP_178722.1																																									NP_178722.1	NM_126681.3	https://www.ncbi.nlm.nih.gov/protein/NP_178722.1	https://www.ncbi.nlm.nih.gov/nucleotide/NM_126681.3																																								
P48449	AJ239031	https://www.ebi.ac.uk/ena/browser/view/AJ239031	AJ239021	https://www.ebi.ac.uk/ena/browser/view/AJ239021	AJ239022	https://www.ebi.ac.uk/ena/browser/view/AJ239022	AJ239023	https://www.ebi.ac.uk/ena/browser/view/AJ239023	AJ239024	https://www.ebi.ac.uk/ena/browser/view/AJ239024	AJ239025	https://www.ebi.ac.uk/ena/browser/view/AJ239025	AJ239026	https://www.ebi.ac.uk/ena/browser/view/AJ239026	AJ239027	https://www.ebi.ac.uk/ena/browser/view/AJ239027	AJ239028	https://www.ebi.ac.uk/ena/browser/view/AJ239028	AJ239029	https://www.ebi.ac.uk/ena/browser/view/AJ239029	AJ239030	https://www.ebi.ac.uk/ena/browser/view/AJ239030	AP001468	https://www.ebi.ac.uk/ena/browser/view/AP001468	AP001469	https://www.ebi.ac.uk/ena/browser/view/AP001469	CH471079	https://www.ebi.ac.uk/ena/browser/view/CH471079	U22526	https://www.ebi.ac.uk/ena/browser/view/U22526	D63807	https://www.ebi.ac.uk/ena/browser/view/D63807	S81221	https://www.ebi.ac.uk/ena/browser/view/S81221	AK296313	https://www.ebi.ac.uk/ena/browser/view/AK296313	AK226141	https://www.ebi.ac.uk/ena/browser/view/AK226141	BC035638	https://www.ebi.ac.uk/ena/browser/view/BC035638	X87809	https://www.ebi.ac.uk/ena/browser/view/X87809																	AAC50184.1	https://www.ebi.ac.uk/ena/browser/view/AAC50184.1	BAA09875.1	https://www.ebi.ac.uk/ena/browser/view/BAA09875.1	AAB36220.1	https://www.ebi.ac.uk/ena/browser/view/AAB36220.1	CAB42828.1	https://www.ebi.ac.uk/ena/browser/view/CAB42828.1	BAG59011.1	https://www.ebi.ac.uk/ena/browser/view/BAG59011.1	EAX09299.1	https://www.ebi.ac.uk/ena/browser/view/EAX09299.1	EAX09301.1	https://www.ebi.ac.uk/ena/browser/view/EAX09301.1	EAX09302.1	https://www.ebi.ac.uk/ena/browser/view/EAX09302.1	EAX09303.1	https://www.ebi.ac.uk/ena/browser/view/EAX09303.1	AAH35638.1	https://www.ebi.ac.uk/ena/browser/view/AAH35638.1	CAA61078.1	https://www.ebi.ac.uk/ena/browser/view/CAA61078.1	NP_001001438.1	https://www.ncbi.nlm.nih.gov/protein/NP_001001438.1	NP_001138908.1	https://www.ncbi.nlm.nih.gov/protein/NP_001138908.1	NP_001138909.1	https://www.ncbi.nlm.nih.gov/protein/NP_001138909.1	NP_002331.3	https://www.ncbi.nlm.nih.gov/protein/NP_002331.3																							NP_001001438.1	NM_001001438.3	https://www.ncbi.nlm.nih.gov/protein/NP_001001438.1	https://www.ncbi.nlm.nih.gov/nucleotide/NM_001001438.3	NP_001138908.1	NM_001145436.2	https://www.ncbi.nlm.nih.gov/protein/NP_001138908.1	https://www.ncbi.nlm.nih.gov/nucleotide/NM_001145436.2	NP_001138909.1	NM_001145437.2	https://www.ncbi.nlm.nih.gov/protein/NP_001138909.1	https://www.ncbi.nlm.nih.gov/nucleotide/NM_001145437.2	NP_002331.3	NM_002340.5	https://www.ncbi.nlm.nih.gov/protein/NP_002331.3	https://www.ncbi.nlm.nih.gov/nucleotide/NM_002340.5																												
P48450																													U31352	https://www.ebi.ac.uk/ena/browser/view/U31352	D45252	https://www.ebi.ac.uk/ena/browser/view/D45252																											AAA91023.1	https://www.ebi.ac.uk/ena/browser/view/AAA91023.1	BAA08208.1	https://www.ebi.ac.uk/ena/browser/view/BAA08208.1	NP_112311.2	https://www.ncbi.nlm.nih.gov/protein/NP_112311.2																																															NP_112311.2	NM_031049.2	https://www.ncbi.nlm.nih.gov/protein/NP_112311.2	https://www.ncbi.nlm.nih.gov/nucleotide/NM_031049.2																																								
P49350	PKPP01000340	https://www.ebi.ac.uk/ena/browser/view/PKPP01000340																											U36376	https://www.ebi.ac.uk/ena/browser/view/U36376	AF136602	https://www.ebi.ac.uk/ena/browser/view/AF136602	AF112881	https://www.ebi.ac.uk/ena/browser/view/AF112881	GQ420346	https://www.ebi.ac.uk/ena/browser/view/GQ420346	KJ609177	https://www.ebi.ac.uk/ena/browser/view/KJ609177																					AAC49452.1	https://www.ebi.ac.uk/ena/browser/view/AAC49452.1	AAD32648.1	https://www.ebi.ac.uk/ena/browser/view/AAD32648.1	AAD17204.1	https://www.ebi.ac.uk/ena/browser/view/AAD17204.1	ADJ67472.1	https://www.ebi.ac.uk/ena/browser/view/ADJ67472.1	AIC83778.1	https://www.ebi.ac.uk/ena/browser/view/AIC83778.1	PWA94011.1	https://www.ebi.ac.uk/ena/browser/view/PWA94011.1																																																																																				
P52019																													D42048	https://www.ebi.ac.uk/ena/browser/view/D42048	BC042781	https://www.ebi.ac.uk/ena/browser/view/BC042781	BC056361	https://www.ebi.ac.uk/ena/browser/view/BC056361																									BAA07649.1	https://www.ebi.ac.uk/ena/browser/view/BAA07649.1	AAH42781.1	https://www.ebi.ac.uk/ena/browser/view/AAH42781.1	AAH56361.1	https://www.ebi.ac.uk/ena/browser/view/AAH56361.1	NP_033296.1	https://www.ncbi.nlm.nih.gov/protein/NP_033296.1																																													NP_033296.1	NM_009270.3	https://www.ncbi.nlm.nih.gov/protein/NP_033296.1	https://www.ncbi.nlm.nih.gov/nucleotide/NM_009270.3																																								
P52020																													D37920	https://www.ebi.ac.uk/ena/browser/view/D37920	BC097330	https://www.ebi.ac.uk/ena/browser/view/BC097330																											BAA07141.1	https://www.ebi.ac.uk/ena/browser/view/BAA07141.1	AAH97330.1	https://www.ebi.ac.uk/ena/browser/view/AAH97330.1	NP_058832.1	https://www.ncbi.nlm.nih.gov/protein/NP_058832.1																																															NP_058832.1	NM_017136.2	https://www.ncbi.nlm.nih.gov/protein/NP_058832.1	https://www.ncbi.nlm.nih.gov/nucleotide/NM_017136.2																																								
P53798	CH466535	https://www.ebi.ac.uk/ena/browser/view/CH466535																											D29016	https://www.ebi.ac.uk/ena/browser/view/D29016	AK076062	https://www.ebi.ac.uk/ena/browser/view/AK076062	AK146766	https://www.ebi.ac.uk/ena/browser/view/AK146766	AK158633	https://www.ebi.ac.uk/ena/browser/view/AK158633	AK168629	https://www.ebi.ac.uk/ena/browser/view/AK168629	AK169317	https://www.ebi.ac.uk/ena/browser/view/AK169317	BC054722	https://www.ebi.ac.uk/ena/browser/view/BC054722	BC138301	https://www.ebi.ac.uk/ena/browser/view/BC138301	BC138302	https://www.ebi.ac.uk/ena/browser/view/BC138302													BAA06102.1	https://www.ebi.ac.uk/ena/browser/view/BAA06102.1	BAC36156.1	https://www.ebi.ac.uk/ena/browser/view/BAC36156.1	BAE27418.1	https://www.ebi.ac.uk/ena/browser/view/BAE27418.1	BAE34590.1	https://www.ebi.ac.uk/ena/browser/view/BAE34590.1	BAE40489.1	https://www.ebi.ac.uk/ena/browser/view/BAE40489.1	BAE41072.1	https://www.ebi.ac.uk/ena/browser/view/BAE41072.1	EDL36069.1	https://www.ebi.ac.uk/ena/browser/view/EDL36069.1	AAH54722.1	https://www.ebi.ac.uk/ena/browser/view/AAH54722.1	AAI38302.1	https://www.ebi.ac.uk/ena/browser/view/AAI38302.1	AAI38303.1	https://www.ebi.ac.uk/ena/browser/view/AAI38303.1	NP_001347140.1	https://www.ncbi.nlm.nih.gov/protein/NP_001347140.1	NP_034321.2	https://www.ncbi.nlm.nih.gov/protein/NP_034321.2	XP_017171333.1	https://www.ncbi.nlm.nih.gov/protein/XP_017171333.1																											NP_001347140.1	NM_001360211.2	https://www.ncbi.nlm.nih.gov/protein/NP_001347140.1	https://www.ncbi.nlm.nih.gov/nucleotide/NM_001360211.2	NP_034321.2	NM_010191.3	https://www.ncbi.nlm.nih.gov/protein/NP_034321.2	https://www.ncbi.nlm.nih.gov/nucleotide/NM_010191.3	XP_017171333.1	XM_017315844.1	https://www.ncbi.nlm.nih.gov/protein/XP_017171333.1	https://www.ncbi.nlm.nih.gov/nucleotide/XM_017315844.1																																
P62623	AY062212	https://www.ebi.ac.uk/ena/browser/view/AY062212	X54945	https://www.ebi.ac.uk/ena/browser/view/X54945	U00096	https://www.ebi.ac.uk/ena/browser/view/U00096	AP009048	https://www.ebi.ac.uk/ena/browser/view/AP009048																																																			AAL38655.1	https://www.ebi.ac.uk/ena/browser/view/AAL38655.1	CAA38707.1	https://www.ebi.ac.uk/ena/browser/view/CAA38707.1	AAC73140.1	https://www.ebi.ac.uk/ena/browser/view/AAC73140.1	BAB96598.1	https://www.ebi.ac.uk/ena/browser/view/BAB96598.1	NP_414570.1	https://www.ncbi.nlm.nih.gov/protein/NP_414570.1	WP_001166395.1	https://www.ncbi.nlm.nih.gov/protein/WP_001166395.1																																									NP_414570.1	NC_000913.3	https://www.ncbi.nlm.nih.gov/protein/NP_414570.1	https://www.ncbi.nlm.nih.gov/nucleotide/NC_000913.3	WP_001166395.1	NZ_CP009789.1	https://www.ncbi.nlm.nih.gov/protein/WP_001166395.1	https://www.ncbi.nlm.nih.gov/nucleotide/NZ_CP009789.1																																				
P82679																																																																																																																																																										
P84466																													DQ372933	https://www.ebi.ac.uk/ena/browser/view/DQ372933																													ABD24094.1	https://www.ebi.ac.uk/ena/browser/view/ABD24094.1	NP_001040029.1	https://www.ncbi.nlm.nih.gov/protein/NP_001040029.1																																																	NP_001040029.1	NM_001046564.1	https://www.ncbi.nlm.nih.gov/protein/NP_001040029.1	https://www.ncbi.nlm.nih.gov/nucleotide/NM_001046564.1																																								
P9WEQ2																																																																																																																																																										
P9WEW0	JH687382	https://www.ebi.ac.uk/ena/browser/view/JH687382																																																									EIM88705.1	https://www.ebi.ac.uk/ena/browser/view/EIM88705.1	XP_007301467.1	https://www.ncbi.nlm.nih.gov/protein/XP_007301467.1																																																	XP_007301467.1	XM_007301405.1	https://www.ncbi.nlm.nih.gov/protein/XP_007301467.1	https://www.ncbi.nlm.nih.gov/nucleotide/XM_007301405.1																																								
P9WEW1	JH687393	https://www.ebi.ac.uk/ena/browser/view/JH687393																																																									EIM82223.1	https://www.ebi.ac.uk/ena/browser/view/EIM82223.1	XP_007308318.1	https://www.ncbi.nlm.nih.gov/protein/XP_007308318.1																																																	XP_007308318.1	XM_007308256.1	https://www.ncbi.nlm.nih.gov/protein/XP_007308318.1	https://www.ncbi.nlm.nih.gov/nucleotide/XM_007308256.1																																								
P9WEW2	JH687380	https://www.ebi.ac.uk/ena/browser/view/JH687380																																																									EIM91236.1	https://www.ebi.ac.uk/ena/browser/view/EIM91236.1	XP_007299456.1	https://www.ncbi.nlm.nih.gov/protein/XP_007299456.1																																																	XP_007299456.1	XM_007299394.1	https://www.ncbi.nlm.nih.gov/protein/XP_007299456.1	https://www.ncbi.nlm.nih.gov/nucleotide/XM_007299394.1																																								
P9WEW8	AHHD01000387	https://www.ebi.ac.uk/ena/browser/view/AHHD01000387																																																																																																																																																								
P9WEX3																																																																																																																																																										
P9WEX9	JNNZ01000128	https://www.ebi.ac.uk/ena/browser/view/JNNZ01000128																																																									KFG81919.1	https://www.ebi.ac.uk/ena/browser/view/KFG81919.1																																																																																														
Q02769																													M95591	https://www.ebi.ac.uk/ena/browser/view/M95591	BC081810	https://www.ebi.ac.uk/ena/browser/view/BC081810																											AAA42179.1	https://www.ebi.ac.uk/ena/browser/view/AAA42179.1	AAH81810.1	https://www.ebi.ac.uk/ena/browser/view/AAH81810.1	NP_062111.1	https://www.ncbi.nlm.nih.gov/protein/NP_062111.1																																															NP_062111.1	NM_019238.2	https://www.ncbi.nlm.nih.gov/protein/NP_062111.1	https://www.ncbi.nlm.nih.gov/nucleotide/NM_019238.2																																								
Q03471	L05193	https://www.ebi.ac.uk/ena/browser/view/L05193																																																									AAA33694.1	https://www.ebi.ac.uk/ena/browser/view/AAA33694.1																																																																																														
Q08IT1																													AB265170	https://www.ebi.ac.uk/ena/browser/view/AB265170	AB122080	https://www.ebi.ac.uk/ena/browser/view/AB122080	GU183405	https://www.ebi.ac.uk/ena/browser/view/GU183405	JN596111	https://www.ebi.ac.uk/ena/browser/view/JN596111	KJ939266	https://www.ebi.ac.uk/ena/browser/view/KJ939266	KM232664	https://www.ebi.ac.uk/ena/browser/view/KM232664	KM232668	https://www.ebi.ac.uk/ena/browser/view/KM232668																	BAF33291.1	https://www.ebi.ac.uk/ena/browser/view/BAF33291.1	BAD15332.1	https://www.ebi.ac.uk/ena/browser/view/BAD15332.1	ACZ71036.1	https://www.ebi.ac.uk/ena/browser/view/ACZ71036.1	AEO27862.1	https://www.ebi.ac.uk/ena/browser/view/AEO27862.1	AJV26447.1	https://www.ebi.ac.uk/ena/browser/view/AJV26447.1	AJC01927.1	https://www.ebi.ac.uk/ena/browser/view/AJC01927.1	AJC01931.1	https://www.ebi.ac.uk/ena/browser/view/AJC01931.1																																																																																		
Q0JA81	AL731610	https://www.ebi.ac.uk/ena/browser/view/AL731610	AP008210	https://www.ebi.ac.uk/ena/browser/view/AP008210	AP014960	https://www.ebi.ac.uk/ena/browser/view/AP014960	CM000141	https://www.ebi.ac.uk/ena/browser/view/CM000141																					LC033788	https://www.ebi.ac.uk/ena/browser/view/LC033788	DQ823350	https://www.ebi.ac.uk/ena/browser/view/DQ823350																											BAR72396.1	https://www.ebi.ac.uk/ena/browser/view/BAR72396.1	CAE05202.3	https://www.ebi.ac.uk/ena/browser/view/CAE05202.3	BAF15756.2	https://www.ebi.ac.uk/ena/browser/view/BAF15756.2	BAS90963.1	https://www.ebi.ac.uk/ena/browser/view/BAS90963.1	EEE61666.1	https://www.ebi.ac.uk/ena/browser/view/EEE61666.1	ABH10731.1	https://www.ebi.ac.uk/ena/browser/view/ABH10731.1																																																																																				
Q0JF02	AL662933	https://www.ebi.ac.uk/ena/browser/view/AL662933	AP008210	https://www.ebi.ac.uk/ena/browser/view/AP008210	AP014960	https://www.ebi.ac.uk/ena/browser/view/AP014960																							AB066270	https://www.ebi.ac.uk/ena/browser/view/AB066270	AK100631	https://www.ebi.ac.uk/ena/browser/view/AK100631	AK121319	https://www.ebi.ac.uk/ena/browser/view/AK121319																									BAD42451.1	https://www.ebi.ac.uk/ena/browser/view/BAD42451.1	CAE04103.3	https://www.ebi.ac.uk/ena/browser/view/CAE04103.3	BAF14085.1	https://www.ebi.ac.uk/ena/browser/view/BAF14085.1	BAS87948.1	https://www.ebi.ac.uk/ena/browser/view/BAS87948.1																																																																																								
Q14534	AC009908	https://www.ebi.ac.uk/ena/browser/view/AC009908	CH471060	https://www.ebi.ac.uk/ena/browser/view/CH471060	FJ695197	https://www.ebi.ac.uk/ena/browser/view/FJ695197																							D78130	https://www.ebi.ac.uk/ena/browser/view/D78130	AF098865	https://www.ebi.ac.uk/ena/browser/view/AF098865	AK313384	https://www.ebi.ac.uk/ena/browser/view/AK313384	BX647400	https://www.ebi.ac.uk/ena/browser/view/BX647400	BC017033	https://www.ebi.ac.uk/ena/browser/view/BC017033	D78129	https://www.ebi.ac.uk/ena/browser/view/D78129																			BAA22372.1	https://www.ebi.ac.uk/ena/browser/view/BAA22372.1	AAD10823.1	https://www.ebi.ac.uk/ena/browser/view/AAD10823.1	BAG36182.1	https://www.ebi.ac.uk/ena/browser/view/BAG36182.1	EAW92079.1	https://www.ebi.ac.uk/ena/browser/view/EAW92079.1	AAH17033.1	https://www.ebi.ac.uk/ena/browser/view/AAH17033.1	BAA11209.1	https://www.ebi.ac.uk/ena/browser/view/BAA11209.1	NP_003120.2	https://www.ncbi.nlm.nih.gov/protein/NP_003120.2																																							NP_003120.2	NM_003129.4	https://www.ncbi.nlm.nih.gov/protein/NP_003120.2	https://www.ncbi.nlm.nih.gov/nucleotide/NM_003129.4																																								
Q1EG72	CM000786	https://www.ebi.ac.uk/ena/browser/view/CM000786																											AY647254	https://www.ebi.ac.uk/ena/browser/view/AY647254	EU716166	https://www.ebi.ac.uk/ena/browser/view/EU716166																											AAT70086.1	https://www.ebi.ac.uk/ena/browser/view/AAT70086.1	ACF58240.1	https://www.ebi.ac.uk/ena/browser/view/ACF58240.1	AQK40803.1	https://www.ebi.ac.uk/ena/browser/view/AQK40803.1	NP_001307938.1	https://www.ncbi.nlm.nih.gov/protein/NP_001307938.1																																													NP_001307938.1	NM_001321009.1	https://www.ncbi.nlm.nih.gov/protein/NP_001307938.1	https://www.ncbi.nlm.nih.gov/nucleotide/NM_001321009.1																																								
Q1PS23	DQ826743	https://www.ebi.ac.uk/ena/browser/view/DQ826743	PKPP01014078	https://www.ebi.ac.uk/ena/browser/view/PKPP01014078	HM048927	https://www.ebi.ac.uk/ena/browser/view/HM048927	DQ667170	https://www.ebi.ac.uk/ena/browser/view/DQ667170																					DQ268763	https://www.ebi.ac.uk/ena/browser/view/DQ268763	DQ453967	https://www.ebi.ac.uk/ena/browser/view/DQ453967	EF197889	https://www.ebi.ac.uk/ena/browser/view/EF197889	DQ872632	https://www.ebi.ac.uk/ena/browser/view/DQ872632	EU684540	https://www.ebi.ac.uk/ena/browser/view/EU684540	HQ315834	https://www.ebi.ac.uk/ena/browser/view/HQ315834	JN594504	https://www.ebi.ac.uk/ena/browser/view/JN594504	AB706288	https://www.ebi.ac.uk/ena/browser/view/AB706288	JQ254992	https://www.ebi.ac.uk/ena/browser/view/JQ254992	KJ609178	https://www.ebi.ac.uk/ena/browser/view/KJ609178	DQ315671	https://www.ebi.ac.uk/ena/browser/view/DQ315671									ABB82944.1	https://www.ebi.ac.uk/ena/browser/view/ABB82944.1	ABE57266.1	https://www.ebi.ac.uk/ena/browser/view/ABE57266.1	ABG91755.1	https://www.ebi.ac.uk/ena/browser/view/ABG91755.1	ABM88788.1	https://www.ebi.ac.uk/ena/browser/view/ABM88788.1	ABI31728.1	https://www.ebi.ac.uk/ena/browser/view/ABI31728.1	ACF74516.1	https://www.ebi.ac.uk/ena/browser/view/ACF74516.1	ADU25498.1	https://www.ebi.ac.uk/ena/browser/view/ADU25498.1	AFO64615.1	https://www.ebi.ac.uk/ena/browser/view/AFO64615.1	BAM68808.1	https://www.ebi.ac.uk/ena/browser/view/BAM68808.1	AFP19100.1	https://www.ebi.ac.uk/ena/browser/view/AFP19100.1	AIC83779.1	https://www.ebi.ac.uk/ena/browser/view/AIC83779.1	PWA40082.1	https://www.ebi.ac.uk/ena/browser/view/PWA40082.1	ADI24872.1	https://www.ebi.ac.uk/ena/browser/view/ADI24872.1	ABG49365.1	https://www.ebi.ac.uk/ena/browser/view/ABG49365.1	ABC41927.1	https://www.ebi.ac.uk/ena/browser/view/ABC41927.1																																																																		
Q29VN2	CM000781	https://www.ebi.ac.uk/ena/browser/view/CM000781																											AY928081	https://www.ebi.ac.uk/ena/browser/view/AY928081																													AAX99149.1	https://www.ebi.ac.uk/ena/browser/view/AAX99149.1	AQK67958.1	https://www.ebi.ac.uk/ena/browser/view/AQK67958.1	NP_001105854.1	https://www.ncbi.nlm.nih.gov/protein/NP_001105854.1																																															NP_001105854.1	NM_001112384.1	https://www.ncbi.nlm.nih.gov/protein/NP_001105854.1	https://www.ncbi.nlm.nih.gov/nucleotide/NM_001112384.1																																								
Q29VN3	CM007647	https://www.ebi.ac.uk/ena/browser/view/CM007647																											AY928080	https://www.ebi.ac.uk/ena/browser/view/AY928080																													AAX99148.1	https://www.ebi.ac.uk/ena/browser/view/AAX99148.1	ONL98158.1	https://www.ebi.ac.uk/ena/browser/view/ONL98158.1	NP_001105912.1	https://www.ncbi.nlm.nih.gov/protein/NP_001105912.1																																															NP_001105912.1	NM_001112442.1	https://www.ncbi.nlm.nih.gov/protein/NP_001105912.1	https://www.ncbi.nlm.nih.gov/nucleotide/NM_001112442.1																																								
Q2NM15																													AY928078	https://www.ebi.ac.uk/ena/browser/view/AY928078	AY928079	https://www.ebi.ac.uk/ena/browser/view/AY928079																											AAX99146.1	https://www.ebi.ac.uk/ena/browser/view/AAX99146.1	AAX99147.1	https://www.ebi.ac.uk/ena/browser/view/AAX99147.1	NP_001105850.2	https://www.ncbi.nlm.nih.gov/protein/NP_001105850.2																																															NP_001105850.2	NM_001112380.2	https://www.ncbi.nlm.nih.gov/protein/NP_001105850.2	https://www.ncbi.nlm.nih.gov/nucleotide/NM_001112380.2																																								
